figure,source_table,description,script
Figure_3C,source_data/heca_mapping_quality_heatmap_values.csv,Mean HECA assignment correlations by cohort and broad cell state,scripts/rebuild_main_figure_3c.R
Figure_S16,source_data/canonical_receptivity_overlap_verified.csv,Verified canonical-marker membership against the finalized 3499-gene list,scripts/rebuild_audit_supplementary_figures.R
Figure_S19,source_data/canonical_receptivity_marker_rankings_verified.csv,Verified marker correlations and membership,scripts/rebuild_audit_supplementary_figures.R
Figure_S3,source_data/internal_validation/corrected_random80_null_metrics.csv; source_data/internal_validation/corrected_permutedLH_null_metrics.csv; source_data/internal_validation/corrected_low_association_null_metrics.csv; source_data/internal_validation/corrected_negative_control_summary.csv,Corrected nested-validation negative-control distributions and observed rho,scripts/internal_validation/rebuild_corrected_figure1c_s1_s3_public.R
Figure_S1,source_data/internal_validation/corrected_primary_loocv_predictions.csv; source_data/internal_validation/corrected_primary_loocv_summary.csv,Corrected nested fertile-timeline predictions and summary metrics with publication-facing luteal-stage labels,scripts/internal_validation/rebuild_corrected_figure1c_s1_s3_public.R
Figure_1C,source_data/internal_validation/corrected_primary_loocv_predictions.csv; source_data/internal_validation/corrected_primary_loocv_summary.csv,Corrected nested fertile-timeline validation panel,scripts/internal_validation/rebuild_corrected_figure1c_s1_s3_public.R
Figure_S12,source_data/rif_celltype_timing_stats.csv,RIF author-annotated cell-category timing statistics with display-label cleanup,scripts/rebuild_supplementary_cleanup_figures.R
Figure_S14,source_data/heca_broad_celltype_stage_counts.csv,HECA reference secretory-stage coverage with human-readable stage and state labels,scripts/rebuild_supplementary_cleanup_figures.R
Figure_S15,source_data/cross_disease_score_table_with_common_axis.csv; source_data/figure_S15_observation_unit_audit.csv; source_data/figure_S15_observation_unit_summary.csv,Cross-disease module-score display restricted to comparable bulk/pseudobulk/organoid analytical observations,scripts/rebuild_supplementary_cleanup_figures.R
Figure_S13,source_data/rif_heca_celltype_timing_scores.csv; source_data/endo179640_heca_celltype_timing_scores.csv; source_data/endo213216_heca_celltype_timing_scores.csv; source_data/endo214411_heca_celltype_timing_scores.csv,Cross-cohort HECA timing heatmap rebuilt with display-label normalization only,scripts/rebuild_figure_s13_display.R
Figure_S21,source_data/heca_non_endo_key_shift_comparison.csv,Key-shift sensitivity under full versus non-endometriosis HECA references with a non-clipped title,scripts/rebuild_figure_s21_display.R
Figure 2,source_data/final_figure_lock/figure2_effect_definition_lock.tsv,Hedges g and matching CI,scripts/figure2_figure4_formal_lock.py
Figure 2B,source_data/final_figure_lock/figure2_sample_alignment_277_records.tsv,277 aligned records,scripts/figure2_figure4_formal_lock.py
Figure 4,source_data/final_figure_lock/figure4_heatmap_scale_and_unit_lock.tsv,28 descriptive cells; 119 samples; 833 sample-state records,scripts/figure2_figure4_formal_lock.py
Figure 7A,source_data/external_validation/GSE234368_timing_scores.csv; source_data/external_validation/Supplementary_Table_S15.csv,Independent Stage 5–7 timing-ordering validation,scripts/external_validation/reproduce_GSE234368_summary.py
Figure 7B,source_data/external_validation/GSE98386_paired_timing_scores.csv; source_data/external_validation/Supplementary_Table_S15.csv,Paired within-person LH+2 to LH+8 timing validation,scripts/external_validation/reproduce_GSE98386_summary.py
Figure 7C,source_data/external_validation/GSE180485_timing_scores.csv; source_data/external_validation/Supplementary_Table_S15.csv,Independent LH-linked timing evaluation,scripts/external_validation/reproduce_GSE180485_summary.py
Figure 7D,source_data/external_validation/GSE144895_timing_scores.csv; source_data/external_validation/Supplementary_Table_S15.csv,Exploratory pregnancy-outcome-linked timing contrast,scripts/external_validation/reproduce_GSE144895_summary.py
Figure_S22,source_data/external_validation/GSE234368_timing_scores.csv; source_data/external_validation/Supplementary_Table_S15.csv,GSE234368 external timing validation,scripts/external_validation/reproduce_GSE234368_summary.py
Figure_S23,source_data/external_validation/GSE98386_paired_timing_scores.csv; source_data/external_validation/Supplementary_Table_S15.csv,GSE98386 paired external timing validation,scripts/external_validation/reproduce_GSE98386_summary.py
Figure_S24,source_data/external_validation/GSE180485_timing_scores.csv; source_data/external_validation/Supplementary_Table_S15.csv,GSE180485 LH-linked external timing validation,scripts/external_validation/reproduce_GSE180485_summary.py
Figure_S25,source_data/external_validation/GSE144895_timing_scores.csv; source_data/external_validation/Supplementary_Table_S15.csv,GSE144895 exploratory outcome-linked timing assessment,scripts/external_validation/reproduce_GSE144895_summary.py
